ecoregion,sitename,prelimID,n_dd,w_dd,slope,aspect,elevation,canopy_typ,topo,moist,severity,ph,sol,ave_orgd,treeden,treeba,seedlingde,burn_year,age,age_ave,age_min,age_max,age_median,age_source,derived_age,decid.bio,decid.dens,D.Index,Class
Tanana-Kuskokwim Lowlands,GRI5,GR-5,63.795019,-145.076628,1,342,500,Aspen,Flat,SUBXERIC-MESIC,NA,8.21,9.1,NA,1425,21.17,86181.82,1947,Intermediate,40,36,45,40,core,77,9549.422346318304,0.23333333333333336,0.8983832286269646,Decid
Tanana-Kuskokwim Lowlands,GRI6,GR-3,63.800401,-145.055548,0,0,495,Aspen,Flat,MESIC,NA,7.45,10.45,5.7,3466.67,19.93,59863.64,1947,Intermediate,44,28,59,46,core,77,7049.517407927587,0.21,0.622084478210704,Mixed
Tanana-Kuskokwim Lowlands,GRI7,GR-4,63.801791,-145.061443,1,220,485,Aspen,Flat,SUBXERIC-MESIC,NA,7.68,7,4.1,1575,25.76,18909.09,1947,Intermediate,40,22,52,44,core,77,11532.357602143276,0.25416666666666665,0.9376181190852272,Decid
Tanana-Kuskokwim Lowlands,GRM1,TKN0118,63.695772,-144.331784,2,303,448,Black Spruce,NA,MESIC,NA,0,0,NA,55227.27,6058.33,14.43,1930,Mature,204,196,210,207,core,94,0,0,0,Spruce
Tanana-Kuskokwim Lowlands,GRM2,GR-10,63.787641,-145.063916,0,0,493,Black Spruce,NA,MESIC,NA,0,0,NA,20272.73,6491.67,37.48,1930,Mature,40,38,41,40,core,94,0,0,0,Spruce
Tanana-Kuskokwim Lowlands,GRM3,TKN0120,63.813653,-144.953825,0,0,430,Black Spruce,NA,MESIC-SUBHYGRIC,NA,0,0,NA,40000,1375,2.35,1930,Mature,232,207,295,212,core,94,0,0,0,Spruce
Tanana-Kuskokwim Lowlands,GRM4,TKN0119,63.815131,-144.955467,0,0,429,Black Spruce,NA,SUBXERIC-MESIC,NA,0,0,NA,54454.55,3866.67,10.67,1930,Mature,346,292,431,330,core,94,43.65908848919431,8.333333333333334e-4,0.00680324417050159,Spruce
Yukon-Tanana Uplands,GSI1,GS-3,64.80004,-148.41375,3,283,244,Black Spruce,Lowland,MESIC,NA,5.99,17.75,NA,5825,9.81,23909.09,1966,Intermediate,NA,NA,NA,NA,disturbance,58,0,0,0,Spruce
Yukon-Tanana Uplands,GSI2,GS-2,64.80255,-148.42039,3,333,129,Black Spruce,Flat,SUBXERIC-MESIC,NA,5.95,14.24,NA,441.67,0.37,10363.64,1966,Intermediate,NA,NA,NA,NA,disturbance,58,0,0,0,Spruce
Yukon-Tanana Uplands,GSI3,GS-1,64.80951,-148.49298,10,79,210,Birch,Toe Slope,MESIC,NA,6.15,9.3,8.1,6858.33,15.31,13181.82,1966,Intermediate,NA,NA,NA,NA,disturbance,58,2859.0843042145193,0.12666666666666668,0.26593746437604066,Spruce
Yukon-Tanana Uplands,GSM1,TKN0131L,64.80258,-148.31676,2,150,180,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,28590.91,2100,3.45,1930,Mature,NA,NA,NA,NA,disturbance,94,0,0,0,Spruce
Yukon-Tanana Uplands,GSM2,TKN0131,64.80334,-148.31574,2,95,163,Black Spruce,NA,SUBXERIC,NA,0,0,NA,18136.36,3191.67,17.28,1930,Mature,185,164,200,190,core,94,0,0,0,Spruce
Yukon-Tanana Uplands,GSM3,TKN0040,64.916152,-147.832248,0,0,187,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,10954.55,3450,4.91,1930,Mature,190,110,232,209,core,94,0,0,0,Spruce
Yukon-Tanana Uplands,GSM4,TKN0043,64.942214,-148.25307,16,24,497,Black Spruce,NA,SUBXERIC-MESIC,NA,0,0,24,13409.09,4108.33,9.85,1930,Mature,107,103,111,109,core,94,79.01787170787735,0.00916666666666666,0.02131032877252123,Spruce
Yukon-Tanana Uplands,GSM5,TKN0024,64.998563,-147.65685,9,326,431,Black Spruce,NA,SUBXERIC,NA,0,0,NA,47272.73,2016.67,4.1,1930,Mature,184,125,211,196,core,94,2.6660669291424184,0.00166666666666666,0.00362727540065777,Spruce
Yukon-Tanana Uplands,HR1A,HR1A,65.170919,-147.543574,15,325,600,Black Spruce,NA,MESIC,1,0,0,4.3,0,0,26590.91,1999,Young,NA,NA,NA,NA,disturbance,25,NA,NA,NA,NA
Ray Mountains,LGI1,LG-2,65.42936,-148.86419,8,173,290,Black Spruce,Toe Slope,MESIC,NA,7,23.65,23.6,1100,2.35,5363.64,1958,Intermediate,NA,NA,NA,NA,disturbance,66,0,0,0,Spruce
Ray Mountains,LGI2,LG-3,65.44649,-148.7609,12,144,330,Black Spruce,Toe Slope,SUBXERIC,NA,5.03,12.55,9.1,1758.33,11.26,3909.09,1958,Intermediate,NA,NA,NA,NA,disturbance,66,1355.0817313880236,0.0575,0.3082030729932448,Spruce
Yukon-Tanana Uplands,MDI1,MD-5,64.879074,-148.381474,3,69,211,Birch,Side Slope,SUBXERIC-MESIC,NA,5.7,9.1,11.8,12108.33,29.41,4363.64,1958,Intermediate,45,44,46,45,core,66,5866.186230060092,0.38166666666666665,0.385309785348059,Mixed
Yukon-Tanana Uplands,MDI2,MD-7,64.879249,-148.389008,10,68,256,Birch,Side Slope,SUBXERIC,NA,6.25,6.7,7.9,9375,18.17,45090.91,1958,Intermediate,40,36,44,40,core,66,4751.5960438108705,0.48666666666666664,0.512885902664577,Mixed
Yukon-Tanana Uplands,MDI3,MD-6,64.880388,-148.382724,5,79,205,Birch,Side Slope,SUBXERIC-MESIC,NA,5.93,7.3,8.5,4258.33,27.8,818.18,1958,Intermediate,45,42,48,45,core,66,15210.096077419,0.3433333333333333,0.7350325999636467,Decid
Yukon-Tanana Uplands,MDI4,MD-2,64.882718,-148.355499,7,228,226,Hardwood,Side Slope,SUBXERIC,NA,5.95,4.8,5.1,12100,28.1,42454.55,1958,Intermediate,40,36,47,38,core,66,7775.894795114574,0.5208333333333334,0.4917221507686235,Mixed
Yukon-Tanana Uplands,MDI5,MD-8,64.882947,-148.398187,10,354,226,Black Spruce,Toe Slope,MESIC,NA,5.35,20.8,NA,1908.33,2.21,28363.64,1958,Intermediate,58,31,128,36,core,66,27.05749330824058,0.00916666666666666,0.02419022884108075,Spruce
Yukon-Tanana Uplands,MDM1,MD-3,64.871571,-148.37117,3,84,197,Black Spruce,NA,MESIC,NA,0,0,NA,77590.91,7991.67,13.93,1930,Mature,102,63,134,108,core,94,0,0,0,Spruce
Yukon-Tanana Uplands,NRM1,Nenana Ridge Bottom,64.60724,-148.82573,3,60,197,Black Spruce,NA,MESIC-SUBHYGRIC,NA,0,0,NA,44772.73,5008.33,6.25,1930,Mature,NA,NA,NA,NA,disturbance,94,0,0,0,Spruce
Yukon-Tanana Uplands,NRM2,Nenana Ridge,64.68328,-148.55992,0,0,220,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,32863.64,983.33,1.33,1930,Mature,NA,NA,NA,NA,disturbance,94,0,0,0,Spruce
Tanana-Kuskokwim Lowlands,SL1A,SL1A,64.654214,-148.281215,0,0,131,Mixed,NA,MESIC-SUBHYGRIC,1,0,0,12.5,0,0,32000,2001,Young,NA,NA,NA,NA,disturbance,23,15.326876021363129,0.00625,0.5,Mixed
Tanana-Kuskokwim Lowlands,SL1B,SL1B,64.648269,-148.286119,0,0,130,Black Spruce,NA,SUBHYGRIC,1,0,0,NA,0,0,24636.36,2001,Young,NA,NA,NA,NA,disturbance,23,NA,NA,NA,NA
Yukon-Tanana Uplands,TRM1,TKN0139,65.25333,-148.13914,5,54,270,Black Spruce,NA,SUBXERIC-MESIC,NA,0,0,NA,25681.82,3041.67,3.11,1930,Mature,112,105,129,108,core,94,0,0,0,Spruce
Yukon-Tanana Uplands,TRM2,Tatalina River 1,65.31219,-148.338,0,0,134,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,0,33.33,0.04,1930,Mature,NA,NA,NA,NA,disturbance,94,0,0,0,Spruce
Yukon-Tanana Uplands,TRM3,Tatalina River 2,65.31458,-148.33536,0,0,127,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,59772.73,3141.67,5.07,1930,Mature,NA,NA,NA,NA,disturbance,94,0,0,0,Spruce
Ray Mountains,TRM4,TKN0137,65.40996,-148.23179,0,0,485,Black Spruce,NA,MESIC,NA,0,0,NA,17136.36,4350,9.34,1930,Mature,118,98,159,108,core,94,26.01485850627864,0.0025,0.00547344515167122,Spruce
Yukon-Tanana Uplands,UP4A,UP4A,64.768106,-148.29868,15,310,489,Black Spruce,NA,SUBXERIC,NA,0,0,24.1,17772.73,7991.67,26.52,1930,Mature,NA,NA,NA,NA,disturbance,94,19.104515016589257,0.00166666666666666,0.00260931076354594,Spruce
Yukon-Tanana Uplands,UP4B,UP4B,64.771601,-148.27359,30,315,401,Black Spruce,NA,SUBXERIC,NA,0,0,33.8,9681.82,3150,17.12,1930,Mature,NA,NA,NA,NA,disturbance,94,0,0,0,Spruce
Yukon-Tanana Uplands,UP4C,UP4C,65.153934,-147.491333,5,100,615,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,28181.82,958.33,1.16,1930,Mature,NA,NA,NA,NA,disturbance,94,0,0,0,Spruce
Yukon-Tanana Uplands,UP4D,UP4D,65.169054,-147.550557,4,195,235,Black Spruce,NA,SUBXERIC,NA,0,0,15.3,14363.64,5458.33,21.41,1930,Mature,NA,NA,NA,NA,disturbance,94,155.40470317686868,0.00166666666666666,0.01246825471619647,Spruce
Yukon-Tanana Uplands,WCM1,Washington Creek 1,65.12465,-147.97308,0,0,225,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,15227.27,1183.33,1.82,1930,Mature,NA,NA,NA,NA,disturbance,94,0,0,0,Spruce
Yukon-Tanana Uplands,WCM2,Washington Creek 3,65.13634,-147.97132,3,80,260,Black Spruce,NA,MESIC-SUBHYGRIC,NA,0,0,NA,20090.91,1908.33,3.85,1930,Mature,NA,NA,NA,NA,disturbance,94,0,0,0,Spruce
Yukon-Tanana Uplands,WCM3,TKN0015,65.15466,-147.86305,0,0,274,Black Spruce,NA,SUBHYGRIC,NA,0,0,NA,43409.09,2366.67,6.66,1930,Mature,178,119,216,186,core,94,0,0,0,Spruce
Yukon-Tanana Uplands,WCM4,TKN0012,65.167267,-147.89408,1,164,584,Black Spruce,NA,SUBXERIC,NA,0,0,22.2,28090.91,9608.33,21.58,1930,Mature,243,189,331,219,core,94,68.62847655419304,0.00416666666666666,0.00750087029169294,Spruce
Yukon-Tanana Uplands,WDI1,WD-1,65.116602,-148.080849,3,234,242,Black Spruce,Toe Slope,MESIC,NA,6,12.4,12.8,558.33,0.56,18454.55,1971,Intermediate,77,37,140,53,core,53,1.3303380878721327,8.333333333333334e-4,0.00370334383591836,Spruce
Yukon-Tanana Uplands,WDI2,WD-2,65.124643,-148.07587,20,250,335,Birch,Side Slope,SUBXERIC,NA,7.22,6.3,6.9,3283.33,15.63,3363.64,1971,Intermediate,26,20,34,23,core,53,6839.002491423807,0.32666666666666666,0.8863811153184601,Decid
Yukon-Tanana Uplands,WDI3,WD-3,65.125453,-148.076713,15,250,343,Birch,Side Slope,SUBXERIC,NA,5.87,7.9,8.1,2208.33,5.82,3181.82,1971,Intermediate,24,17,30,26,core,53,1203.9989659433418,0.07666666666666666,0.3235230288341832,Spruce
Yukon-Tanana Uplands,WDI4,WD-4,65.126346,-148.077367,25,255,344,Birch,Side Slope,SUBXERIC-MESIC,NA,6.07,10.4,7.2,3016.67,12.54,1954.55,1971,Intermediate,26,20,34,24,core,53,4615.41392863204,0.20166666666666663,0.66056153666731,Decid
Yukon-Tanana Uplands,WDI5,WD-6,65.145285,-148.018896,0,158,500,Aspen,Summit,SUBXERIC,NA,6.38,5,4,1800,9.58,10909.09,1971,Intermediate,51,19,135,34,core,53,3963.647707049426,0.14166666666666666,0.568070204752679,Mixed
Yukon-Tanana Uplands,WDI6,WD-8,65.148679,-148.026427,22,224,520,Aspen,Side Slope,SUBXERIC,NA,5.76,5.2,5.1,6383.33,26.37,3863.64,1971,Intermediate,33,30,35,33,core,53,10165.252968099368,0.8400000000000001,0.9728647862730384,Decid
Ray Mountains,YRM1,TKN0148,65.56605,-148.92284,7,230,318,Black Spruce,NA,SUBXERIC-MESIC,NA,0,0,NA,20090.91,5050,9.11,1930,Mature,119,105,176,105,core,94,46.53528775008859,0.00416666666666666,0.01236049941132968,Spruce
