SITE,tree.num_PICMAR,tree.num_BETNEO,tree.num_PICGLA,tree.num_POPBAL,tree.num_POPTRE,tree.num_PICEA,density_LARLAR,density_PICMAR,density_BETNEO,density_PICGLA,density_POPBAL,density_POPTRE,density_PICEA,ba_LARLAR,ba_PICMAR,ba_BETNEO,ba_PICGLA,ba_POPBAL,ba_POPTRE,ba_PICEA,bio_LARLAR,bio_PICMAR,bio_BETNEO,bio_PICGLA,bio_POPBAL,bio_POPTRE,bio_PICEA,decid.dens,conif.dens,decid.ba,conif.ba,decid.bio,conif.bio,rel.conif.dens,rel.conif.bio,rel.decid.dens,rel.decid.bio,D.Index,Class
DCY2,1,1,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.2584491375,0.06327202500000001,0,0,0,0,0,66.26830157442733,18.06529648983671,0,0,0,0,0.01,0.01,0.06327202500000001,0.2584491375,18.06529648983671,66.26830157442733,0.5,0.5,0.5,0.5,0.5,Mixed
DCY3,0,0.125,0,0.25,16.875,0,0,0,0.00125,0,0.0025,0.16874999999999998,0,0,0,0.010054400000000002,0,0.02227874375,1.51753690625,0,0,0,2.9445824186056853,0,5.412543854189307,363.0564383380065,0,0.1725,0,1.54987005,0,371.4135646108015,0,0,0,1,1,1,Decid
DCY4,0,0,1,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.0530998,0,0,0,0,0,0,9.58686862904789,0,0,0,0,0.01,0,0.0530998,0,9.58686862904789,1,1,0,0,0,Spruce
DCY5,0,0,0,0,9.333333333333334,0,0,0,0,0,0,0.09333333333333334,0,0,0,0,0,0,0.7762049166666667,0,0,0,0,0,0,181.91347270070173,0,0.09333333333333334,0,0.7762049166666667,0,181.91347270070173,0,0,0,1,1,1,Decid
DCY6,0,1,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.0530998,0,0,0,0,0,0,14.642297218344984,0,0,0,0,0.01,0,0.0530998,0,14.642297218344984,0,0,0,1,1,1,Decid
DCY8,0,0,0,0,1.5,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0.07988535,0,0,0,0,0,0,17.50617799892764,0,0.015,0,0.07988535,0,17.50617799892764,0,0,0,1,1,1,Decid
DCY9,0,1.4,0,0,1.6,0,0,0,0.014,0,0,0.016,0,0,0,0.09677359999999999,0,0,0.09234337999999999,0,0,0,27.874500416437375,0,0,20.48079169227273,0,0.03,0,0.18911698,0,48.3552921087101,0,0,0,1,1,1,Decid
DDM1,68.08333333333333,0,0,0,0,0,0,0.6808333333333333,0,0,0,0,0,0,16.693642375,0,0,0,0,0,0,4304.291390205058,0,0,0,0,0,0,0.6808333333333333,0,16.693642375,0,4304.291390205058,1,1,0,0,0,Spruce
DDM2,39.166666666666664,0,0.3333333333333333,0,0.16666666666666666,0,0,0.39166666666666666,0,0.0033333333333333335,0,0.0016666666666666668,0,0,11.551117883333333,0,0.35469907083333335,0,0.02490689583333333,0,0,2916.83294915303,0,127.86932587335346,0,6.535051657450478,0,0.0016666666666666668,0.395,0.02490689583333333,11.905816954166667,6.535051657450478,3044.702275026383,0.996140350877193,0.9979425982885187,0.0038596491228070164,0.002057401711481314,0.002958525417144165,Spruce
FP0A,0,0,0,2,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.1814505,0,0,0,0,0,0,44.6821823361461,0,0,0.02,0,0.1814505,0,44.6821823361461,0,0,0,1,1,1,Decid
FP0B,0,0,0,8.5,0,0,0,0,0,0,0.085,0,0,0,0,0,0,1.0786355083333332,0,0,0,0,0,0,289.27994402589786,0,0,0.085,0,1.0786355083333332,0,289.27994402589786,0,0,0,1,1,1,Decid
FP1C,0,0,0,16.454545454545453,0,0,0,0,0,0,0.16454545454545455,0,0,0,0,0,0,3.13752265,0,0,0,0,0,0,900.9091602912317,0,0,0.16454545454545455,0,3.13752265,0,900.9091602912317,0,0,0,1,1,1,Decid
FP2A,0,0,0,7.538461538461538,0,0,3.846153846153846e-4,0,0,0,0.07538461538461538,0,0,0.011990959615384612,0,0,0,18.48107254951923,0,0,3.0856875053709425,0,0,0,7484.718320328604,0,0,0.07538461538461538,0,18.48107254951923,0,7484.718320328604,0,0,0,1,1,1,Decid
