Site,Core,Bag,Top_cm,Bottom_cm,Horizon1,Horizon2,SiteAge,BurnYear,AvgPithYear,Orientation,Date_processed,Date_sampled,Burned,Ice1,Ice2,Ice_cm,Macrofossil_bag,Roots,Color,Texture,BagID_A,BagID_B,Bag_mass_g,Wet_g,Dry_g,%SoilMoisture,Thickness_cm,Diameter_cm,Height_cm,Volume_cm3,BulkDensity_g/cm3,Comments
Apex Beta,1,5,120.1,123.1,H,NA,Mature,NA,1938,NA,1/21/16 23:23,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2422,2423,5.008,73.681,20.999,76.71,3,7.4,3.9,69.0,0.231920196,
Apex Beta,1,5,123.1,126,H,NA,Mature,NA,1938,NA,1/21/16 23:24,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2424,2425,5.015,67.419,19.237,77.21,2.9,7.4,3.8,64.5,0.22046904,
Apex Beta,1,5,126,128.9,M,NA,Mature,NA,1938,NA,1/21/16 23:26,4/9/15,No,Onv,NA,0,NA,NA,NA,NA,2426,2427,5.013,65.249,24.289,68.00,2.9,7.3,3.9,66.0,0.292164777,
Apex Beta,1,5,128.9,131.7,A,M,Mature,NA,1938,Horizontal,1/21/16 23:27,4/9/15,No,Pnv,Onv,0,M297,NA,2.5y 3/1,SiL,2428,2429,4.989,63.069,22.463,69.91,2.8,7.3,3.7,59.6,0.293102431,
Apex Beta,1,5,131.7,134.7,A,NA,Mature,NA,1938,NA,1/21/16 23:29,4/9/15,No,Pnv,Lxf,0.1,NA,NA,2.5y 3/2,SiL,2430,2431,4.978,85.666,49.029,45.41,3,7.4,3.7,64.5,0.682827796,
Apex Beta,1,5,134.7,138.8,B,NA,Mature,NA,1938,NA,1/21/16 23:31,4/9/15,No,Pnv,Lxc,0.4,M298,NA,2.5y 3/1,SiL,2432,2433,4.944,119.226,75.432,38.32,4.1,NA,NA,NA,NA,
Apex Beta,1,6,138.8,140.9,A,NA,Mature,NA,1938,NA,1/22/16 0:45,4/9/15,No,Pnv,NA,0,NA,NA,2.5y 3/2,SiL,2434,2435,4.95,52.039,38.819,28.07,2.1,NA,NA,NA,NA,
Apex Beta,1,6,140.9,143.9,B,NA,Mature,NA,1938,NA,1/22/16 0:48,4/9/15,No,Pnv,Bhl,0.7,NA,NA,2.5y 3/1,SiL,2436,2437,4.95,89.874,49.839,47.14,3,7.6,4,72.6,0.618264987,
Apex Beta,1,6,143.9,146.9,B,NA,Mature,NA,1938,NA,1/22/16 0:50,4/9/15,No,Pnv,Bhm,0.2,NA,NA,2.5y 2.5/1,SiL,2438,2439,4.954,81.69,45.664,46.95,3,7.4,3.8,66.7,0.610049088,
Apex Beta,1,6,146.9,149.9,B,NA,Mature,NA,1938,NA,1/22/16 0:52,4/9/15,No,Pnv,Bxl,0.7,NA,NA,2.5y 2.5/1,SiL,2440,2441,4.945,95.539,56.35,43.26,3,7.3,3.9,68.3,0.753170057,
