,Site,Transect,Plot,FuelType,FuelLoad.kg.m2
377,DCY14,B,2,EvergreenLeaf,0.057653
378,DCY14,B,3,EvergreenLeaf,0.0441175
379,DCY2,A,1,EvergreenLeaf,0.00244
380,DCY2,A,2,EvergreenLeaf,0.0206075
381,DCY2,A,3,EvergreenLeaf,0.16525
382,DCY2,B,1,EvergreenLeaf,0
383,DCY2,B,2,EvergreenLeaf,0
384,DCY2,B,3,EvergreenLeaf,0
385,DCY3,A,1,EvergreenLeaf,0
386,DCY3,A,2,EvergreenLeaf,0
387,DCY3,A,3,EvergreenLeaf,0
388,DCY3,B,1,EvergreenLeaf,0.05925
389,DCY3,B,2,EvergreenLeaf,0
390,DCY3,B,3,EvergreenLeaf,0
391,DCY4,A,1,EvergreenLeaf,0.12075
392,DCY4,A,2,EvergreenLeaf,0.0595
393,DCY4,A,3,EvergreenLeaf,0
394,DCY4,B,1,EvergreenLeaf,0.11225
395,DCY4,B,2,EvergreenLeaf,0.01983
396,DCY4,B,3,EvergreenLeaf,0.01404
397,DCY9,A,1,EvergreenLeaf,0.31325
398,DCY9,A,2,EvergreenLeaf,0.09
399,DCY9,A,3,EvergreenLeaf,0.1585
400,DCY9,B,1,EvergreenLeaf,0.113
401,DCY9,B,2,EvergreenLeaf,0.028045
402,DCY9,B,3,EvergreenLeaf,0.4435
403,DDM2,A,1,EvergreenLeaf,0.1885
404,DDM2,A,2,EvergreenLeaf,0.096321699
405,DDM2,A,3,EvergreenLeaf,0.09137977
406,DDM2,B,3,EvergreenLeaf,0.132
407,DDM2,B,2,EvergreenLeaf,0.09795825
408,DDM2,B,1,EvergreenLeaf,0.190340106
409,GRI1,A,1,EvergreenLeaf,0.4863525
410,GRI1,A,2,EvergreenLeaf,0.296
411,GRI1,A,3,EvergreenLeaf,0.28225
412,GRI1,B,1,EvergreenLeaf,0.2615475
413,GRI1,B,2,EvergreenLeaf,0.64525
414,GRI1,B,3,EvergreenLeaf,0.04325
415,GRM3,A,1,EvergreenLeaf,0.225
416,GRM3,A,2,EvergreenLeaf,0.057975
417,GRM3,A,3,EvergreenLeaf,0.0635
418,GRM3,B,1,EvergreenLeaf,0.034135
419,GRM3,B,2,EvergreenLeaf,0.13926
420,GRM3,B,3,EvergreenLeaf,0.03629
421,GRM4,A,1,EvergreenLeaf,0.0591375
422,GRM4,A,2,EvergreenLeaf,0.0795
423,GRM4,A,3,EvergreenLeaf,0.0109125
424,GRM4,B,1,EvergreenLeaf,0.0314975
425,GRM4,B,2,EvergreenLeaf,0.273
426,GRM4,B,3,EvergreenLeaf,0.27075
427,GSI1,A,1,EvergreenLeaf,0
428,GSI1,A,2,EvergreenLeaf,0
429,GSI1,A,3,EvergreenLeaf,0.16575
430,GSI1,B,1,EvergreenLeaf,0
431,GSI1,B,2,EvergreenLeaf,0
432,GSI1,B,3,EvergreenLeaf,0
433,GSI2,A,1,EvergreenLeaf,0.2365
434,GSI2,A,2,EvergreenLeaf,0.2195
435,GSI2,A,3,EvergreenLeaf,0.3921225
436,GSI2,B,1,EvergreenLeaf,0.2955
437,GSI2,B,2,EvergreenLeaf,0.222
438,GSI2,B,3,EvergreenLeaf,0.0566575
439,GSM1,A,1,EvergreenLeaf,0.21175
440,GSM1,A,2,EvergreenLeaf,0.198817
441,GSM1,A,3,EvergreenLeaf,0.13675
442,GSM1,B,1,EvergreenLeaf,0.15125
443,GSM1,B,2,EvergreenLeaf,0.123085
444,GSM1,B,3,EvergreenLeaf,0.25675
445,GSM3,A,1,EvergreenLeaf,0.41025
446,GSM3,A,2,EvergreenLeaf,0.55525
447,GSM3,A,3,EvergreenLeaf,0.257
448,GSM3,B,1,EvergreenLeaf,0.24375
449,GSM3,B,2,EvergreenLeaf,0.15375
450,GSM3,B,3,EvergreenLeaf,0.0973
451,GSM4,A,1,EvergreenLeaf,0.117
452,GSM4,A,2,EvergreenLeaf,0.0847575
453,GSM4,A,3,EvergreenLeaf,0.4545
454,GSM4,B,1,EvergreenLeaf,0.264275
455,GSM4,B,2,EvergreenLeaf,0.548
456,GSM4,B,3,EvergreenLeaf,0.086455
457,GSM5,A,1,EvergreenLeaf,0.2355
458,GSM5,A,2,EvergreenLeaf,0.275
459,GSM5,A,3,EvergreenLeaf,0.15975
460,GSM5,B,1,EvergreenLeaf,0.19525
461,GSM5,B,2,EvergreenLeaf,0.19925
462,GSM5,B,3,EvergreenLeaf,0.10175
463,LGI2,A,1,EvergreenLeaf,0.0445
464,LGI2,A,2,EvergreenLeaf,0.16875
465,LGI2,A,3,EvergreenLeaf,0.196
466,LGI2,B,1,EvergreenLeaf,0
467,LGI2,B,2,EvergreenLeaf,0.02475
468,LGI2,B,3,EvergreenLeaf,0.18875
469,MDI4,A,1,EvergreenLeaf,0
470,MDI4,A,2,EvergreenLeaf,0
471,MDI4,A,3,EvergreenLeaf,0
472,MDI4,B,1,EvergreenLeaf,0
473,MDI4,B,2,EvergreenLeaf,0
474,MDI4,B,3,EvergreenLeaf,0
475,MDI5,A,1,EvergreenLeaf,0.16419
476,MDI5,A,2,EvergreenLeaf,0.115
477,MDI5,A,3,EvergreenLeaf,0.00774
478,MDI5,B,1,EvergreenLeaf,0.10825
479,MDI5,B,2,EvergreenLeaf,0.40175
480,MDI5,B,3,EvergreenLeaf,0.39025
481,MDM1,A,1,EvergreenLeaf,0.10525
482,MDM1,A,2,EvergreenLeaf,0.0216225
483,MDM1,A,3,EvergreenLeaf,0.182735
484,MDM1,B,1,EvergreenLeaf,0.004545
485,MDM1,B,2,EvergreenLeaf,0.06825
486,MDM1,B,3,EvergreenLeaf,0.01225
487,UP4D,A,1,EvergreenLeaf,0.1283475
488,UP4D,A,2,EvergreenLeaf,0.0336825
489,UP4D,A,3,EvergreenLeaf,0.266015
490,UP4D,B,1,EvergreenLeaf,0
491,UP4D,B,2,EvergreenLeaf,0.04625
492,UP4D,B,3,EvergreenLeaf,0
493,WCM2,A,1,EvergreenLeaf,0.6265
494,WCM2,A,2,EvergreenLeaf,0.2055
495,WCM2,A,3,EvergreenLeaf,0.17225
496,WCM2,B,1,EvergreenLeaf,0.114
497,WCM2,B,2,EvergreenLeaf,0.051
498,WCM2,B,3,EvergreenLeaf,0.33475
499,WCM3,A,1,EvergreenLeaf,0.1392375
500,WCM3,A,2,EvergreenLeaf,0.0428575
501,WCM3,A,3,EvergreenLeaf,0.0407475
502,WCM3,B,1,EvergreenLeaf,0.15825
503,WCM3,B,2,EvergreenLeaf,0.21375
504,WCM3,B,3,EvergreenLeaf,0.2375
505,BCEFM2,A,1,DeciduousLeaf,0
506,BCEFM2,A,2,DeciduousLeaf,0.01375
507,BCEFM2,A,3,DeciduousLeaf,0
508,BCEFM2,B,1,DeciduousLeaf,0.0033125
509,BCEFM2,B,2,DeciduousLeaf,0
510,BCEFM2,B,3,DeciduousLeaf,0
511,BDM1,A,1,DeciduousLeaf,0
512,BDM1,A,2,DeciduousLeaf,0
513,BDM1,A,3,DeciduousLeaf,0
514,BDM1,B,1,DeciduousLeaf,0
515,BDM1,B,2,DeciduousLeaf,0
516,BDM1,B,3,DeciduousLeaf,0.002925
517,BFY10,A,1,DeciduousLeaf,0
518,BFY10,A,2,DeciduousLeaf,0
519,BFY10,A,3,DeciduousLeaf,0
520,BFY10,B,1,DeciduousLeaf,0
521,BFY10,B,2,DeciduousLeaf,0
522,BFY10,B,3,DeciduousLeaf,0
523,BFY7,A,1,DeciduousLeaf,0.0577125
524,BFY7,A,2,DeciduousLeaf,0.52675
525,BFY7,A,3,DeciduousLeaf,1.063
526,BFY7,B,1,DeciduousLeaf,0.1882275
527,BFY7,B,2,DeciduousLeaf,0
528,BFY7,B,3,DeciduousLeaf,0.1844125
529,BFY8,A,1,DeciduousLeaf,0
530,BFY8,A,2,DeciduousLeaf,0.00325
531,BFY8,A,3,DeciduousLeaf,0
532,BFY8,B,1,DeciduousLeaf,0
533,BFY8,B,2,DeciduousLeaf,0
534,BFY8,B,3,DeciduousLeaf,0
535,BFY9,A,1,DeciduousLeaf,0.1675
536,BFY9,A,2,DeciduousLeaf,0.000225
537,BFY9,A,3,DeciduousLeaf,0.02075
