Site,Crew,Core_number,Bag_number,Top_depth,Bottom_depth,Notes,Date,Creation_timestamp,Device::Device_name
DC49,"sf, qd",1,1,0,2,,04/15/2015,04/15/2015 12:58:36,Shalane's iPad
DC49,"sf, qd",1,2,2,23,,04/15/2015,04/15/2015 13:35:58,Shalane's iPad
DC49,"sf, qd",1,3,23,52,did not count clump at end. measurement is to end of full cylinder,04/15/2015,04/15/2015 13:36:08,Shalane's iPad
DC49,"sf, qd",2,1,0,14,"broke at mineral transition. not much on top for moss layer, between tussocks.",04/15/2015,04/15/2015 14:18:33,Shalane's iPad
DC49,"sf, qd",2,2,14,62,broke at organic transiton,04/15/2015,04/15/2015 14:18:43,Shalane's iPad
DC49,"sf, qd",3,1,0,3,moss layer,04/15/2015,04/15/2015 15:05:44,Shalane's iPad
DC49,"sf, qd",3,2,3,20,,04/15/2015,04/15/2015 15:07:06,Shalane's iPad
DC49,"sf, qd",3,3,20,30,,04/15/2015,04/15/2015 15:07:12,Shalane's iPad
DC49,"sf, qd",3,4,30,34,,04/15/2015,04/15/2015 15:07:20,Shalane's iPad
DC49,"sf, qd",3,5,34,40,,04/15/2015,04/15/2015 15:07:31,Shalane's iPad
FP5D,"jh, ko, sf, tp",1,1,0,3,just moss,05/07/2015,05/07/2015 13:56:05,Shalane's iPad
FP5D,"jh, ko, sf, tp",1,2,3,19,,05/07/2015,05/07/2015 13:56:33,Shalane's iPad
FP5D,"jh, ko, sf, tp",1,3,19,42,,05/07/2015,05/07/2015 13:57:11,Shalane's iPad
FP5D,"jh, ko, sf, tp",1,4,42,55,all in sleeve,05/07/2015,05/07/2015 13:57:23,Shalane's iPad
FP5D,"jh, ko, sf, tp",2,1,0,16,,05/07/2015,05/07/2015 14:08:01,Shalane's iPad
FP5D,"jh, ko, sf, tp",2,2,16,35,,05/07/2015,05/07/2015 14:08:14,Shalane's iPad
FP5D,"jh, ko, sf, tp",2,3,35,52,,05/07/2015,05/07/2015 14:08:20,Shalane's iPad
FP5D,"jh, ko, sf, tp",2,4,52,63,,05/07/2015,05/07/2015 14:08:27,Shalane's iPad
FP5D,"jh, ko, sf, tp",2,5,63,114,second sleeve,05/07/2015,05/07/2015 14:08:46,Shalane's iPad
FP5D,"jh, ko, sf, tp",3,1,0,5,,05/07/2015,05/07/2015 14:31:14,Shalane's iPad
FP5D,"jh, ko, sf, tp",3,2,5,29,,05/07/2015,05/07/2015 14:31:21,Shalane's iPad
FP5D,"jh, ko, sf, tp",3,3,29,50,,05/07/2015,05/07/2015 14:31:33,Shalane's iPad
FP5D,"jh, ko, sf, tp",3,4,50,67,,05/07/2015,05/07/2015 14:31:42,Shalane's iPad
FP5D,"jh, ko, sf, tp",3,5,67,115,,05/07/2015,05/07/2015 14:31:54,Shalane's iPad
FP5D,"jh, ko, sf, tp",3,6,115,143,,05/07/2015,05/07/2015 14:35:31,Shalane's iPad
FP5D,"jh, ko, sf, tp",3,7,143,153,,05/07/2015,05/07/2015 14:36:01,Shalane's iPad
FP5D,"jh, ko, sf, tp",3,8,153,199,,05/07/2015,05/07/2015 14:57:50,Shalane's iPad
FP5D,"jh, ko, sf, tp",3,9,199,222,,05/07/2015,05/07/2015 15:11:03,Shalane's iPad
FP5D,"jh, ko, sf, tp",3,10,222,253,,05/07/2015,05/07/2015 15:11:24,Shalane's iPad
GS-2,"jh, sf, qd",5,2,24,37,,04/02/2015,04/02/2015 13:24:32,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",1,1,0,18,shallow organic,04/02/2015,04/02/2015 10:36:02,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",1,2,18,25,,04/02/2015,04/02/2015 10:32:40,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",1,3,25,55,cool ice lens at bottom think we hit permafrost.,04/02/2015,04/02/2015 10:38:10,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",2,1,0,16,,04/02/2015,04/02/2015 10:58:42,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",2,2,16,29,,04/02/2015,04/02/2015 10:58:59,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",2,3,29,63,top has organic,04/02/2015,04/02/2015 10:59:33,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",3,1,0,20,,04/02/2015,04/02/2015 11:24:19,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",3,2,20,44,,04/02/2015,04/02/2015 11:24:39,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",4,1,0,41,,04/02/2015,04/02/2015 11:45:01,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",4,2,41,65,,04/02/2015,04/02/2015 11:45:17,KONESS (Shalane's Desktop)
GS-2,"jh, sf, qd",5,1,0,24,,04/02/2015,04/02/2015 12:17:35,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",1,1,0,17,,04/02/2015,04/02/2015 13:25:26,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",1,2,17,34,,04/02/2015,04/02/2015 13:25:37,KONESS (Shalane's Desktop)
GS-3,"jh, sf, qd",1,3,34,57,,04/02/2015,04/02/2015 13:25:49,KONESS (Shalane's Desktop)
