SiteCode,AlternateName,FireName,BurnYear,YearSampled,Age,AgeCat,ForestType1,ForestType2,Latitude,Longitude,Aspect,SlopeDegree,ElevationMax,Heatload,GSM,VSM,MoistureClass,OLDepth,pH,TotalVascCover,BareGroundCover,CoarseWoodyDebrisCover,LeaflitterCover,LichenCover,LeafLitterDepth,DecIV,TotalBasalArea,BpBA,Pb_BA,PmBA,PtBA,ShrubBA,TotalBiomass,Bpbiomass,Pb_biomass,Pmbiomass,Ptbiomass,Shrubbiomass,TotalDensity,Bpdensity,Pbdensity,Pmdensity,Ptdensity,Shrubdensity,LocationDescription,SiteType
BF812,BF812,Bolio,1981,2010,29,2,PT,PT,63.86645,-145.84806,301,1.7,506.6837769,-0.6591969,0.576,0.064,4.607602,6.4,5.528,85.6,0,15.2,96.8,0,2.6,2.7197162,16.906,0,1.03507624,0.836841743,15.03464142,0,4184.722,0,222.6196925,137.5072694,3824.591941,0,1.83,0,0.11,0.39,1.33,0,Bolio 1981 Fire scar off Meadows Rd in Fort Greely near Delta Junction. Had to gain special permission to access.,Mid-succession Trembling aspen stand
BF813,BF813,Bolio,1981,2010,29,2,PM_PT,PM,63.87115,-145.85592,301,1.5,496.1027527,-0.658295,1.258,0.094,6,9.2,5.274,93.6,0,0.8,83.2,36,0,1.6817776,5.736,0.040290926,0,5.025841387,0.062831853,0.608762116,438.57,1.441699381,0,405.1972613,5.318283044,26.61028951,3.03,0.07,0,1.51,0.06,1.39,Bolio 1981 Fire scar off Meadows Rd in Fort Greely near Delta Junction. Had to gain special permission to access.,Mid-succession Black spruce stand
BG471,BG471,Big Gerstle,1947,2009,62,2,BP,BN,63.79029,-145.04183,3,0.9,492.5068359,-0.6636614,0.638,0.052,6,4,4.442,40.8,0,2.4,91.2,3.2,2.8,1.9444966,34.032,15.59337368,0,6.811606689,5.312496794,6.078091143,11389.91,7055.184671,0,1265.691921,1824.223395,1201.66716,1.99,0.1,0,1.58,0.04,0.22,Big Gerstle fire scar near Big Gerstle River south of Delta Juntion. On Fort Greely military land. Can access with recreational permit.,Mid-succession Alaska paper birch stand
BG472,BG472,Big Gerstle,1947,2009,62,2,PT,PT,63.78461,-145.06217,344,1.2,505.7530823,-0.6691128,1.02,0.106,6,2.4,3.392,31.2,0,12.8,84,4,2.8,2.4872019,39.016,7.054210684,0,0.281456857,28.10522274,1.912510501,13440.804,3020.055492,0,17.18013895,9601.46794,337.6825824,0.63,0.07,0,0.17,0.19,0.09,Big Gerstle fire scar near Big Gerstle River south of Delta Juntion. On Fort Greely military land. Can access with recreational permit.,Mid-succession Trembling aspen stand
BG473,BG473,Big Gerstle,1947,2009,62,2,PM,PM,63.77422,-145.087,15,1.9,534.9967651,-0.687088,4.368,0.31,6,17.8,6.254,76,0,0.8,37.6,27.2,0,1.582456,6.03,1.048056515,0,4.435627234,0,0.548334367,995.202,195.1373895,0,765.0398977,0,35.02353208,1.77,0.08,0,1.26,0,0.43,Big Gerstle fire scar near Big Gerstle River south of Delta Juntion. On Fort Greely military land. Can access with recreational permit.,Mid-succession Black spruce stand
CD581,CD581,Chena Dome,1958,2009,50,2,PM,PM,64.9103,-146.61636,145,2.9,229.1111145,-0.6162176,3.982,0.104,6,14,4.884,58.4,0.8,2.4,16.8,20,2.2,0.9391296,14.184,0,0,11.55629046,0,2.626214379,2418.716,0,0,2168.022024,0,250.6901425,6.2,0,0,4.56,0,1.64,Chena Dome fire scar off Chena Dome Road. N side of road.,Mid-succession Black spruce stand
CF104TC3,TC3,Chicken 1,2004,2014,10,1,PT_BP,PT,64.03908333,-142.0584067,315,4,718,-0.7097517,NA,NA,3.922801,5.85,5.286,72.8,7.2,9.6,81.6,9.6,0.73,2.9914001,5.28,0.19,0,0.02,0.28,4.8,159.8452592,7.089161619,0,0.552017024,13.37302595,138.8310547,21.12,0.36,0,0.12,4,16.64,Near the TC3 site from JFSP along the Taylor Highway. ,Early succession Trembling aspen stand
CF104TC6,TC6,Chicken 1,2004,2014,10,1,PM,PM,63.9815375,-142.156185,F,0,651,-0.643808,NA,NA,5.66379,9.645,5.482,87.2,15.2,1.6,72,13.6,0.52,2.876131,6.58,0,0,0.11,0,6.47,206.2283429,0,0,3.523031841,0,202.7053111,18.37,0,0,1.97,0,16.4,Near the TC6 site from JFSP along the Taylor Highway. ,Early succession Black spruce stand
CF104TC8,TC8,Chicken 1,2004,2014,10,1,PM_PT,PT,63.96118,-142.167675,180,4,657,-0.5793242,NA,NA,4.075519,7.915,5.722,81.6,18.4,5.6,80,13.6,0.945,2.6258755,3.23,0,0,0.400867223,0.563287563,2.265402463,65.24016063,0,0,7.462745726,17.07139632,40.70601858,10.08,0,0,2.52,2.6,4.96,Near the TC8 site from JFSP along the Taylor Highway. ,Early succession Trembling aspen stand
DF941,NA,Hajdukovich,1994,2013,19,1,PM_PT,PT,63.79162636,-145.1158936,F,0,468,-0.6397901,NA,NA,4,10.24,5.252,77.6,12,31.2,84.8,27.2,0.26,2.6058955,2.389024134,0.108070787,0,0.170588481,0.374634924,1.735729941,106.0177262,4.42618218,0,8.033963369,26.83775175,66.71982892,3.26,0.22,0,0.4,0.78,1.86,In the Hajdukovich burn East of Delta junction South of the Alaska Highway. ,Early succession Trembling aspen stand
