"fire_scar","fire_year","site","plot","tree.age","biomass.as","biomass.br","biomass.bp","biomass.bs","biomass.ws","biomass.unk.con","biomass","biomass.con","biomass.dec","density.as","density.br","density.bp","density.bs","density.ws","density.unk.con","density","study","cores_processed","postfire.age"
"Hess Creek",2019,12,"C",79,5217.65377252978,0,0,1955.86368436527,0,0,7173.51745689505,1955.86368436527,5217.65377252978,0.3,0,0,0.05,0,0,0.35,"FiSL","1",3
"Munson Creek",2021,125,"A",65,913.965118617611,711.048890147159,0,4.93379850936882,0,0,1629.94780727414,4.93379850936882,1625.01400876477,0.05,1.4,0,0.05,0,0,1.5,"FiSL","1",1
"Munson Creek",2021,125,"B",97,0,5142.19037637735,0,0,0,0,5142.19037637735,0,5142.19037637735,0,1.5,0,0,0,0,1.5,"FiSL","1",1
"Munson Creek",2021,125,"C",92,0,310.324414267763,0,4811.86548469467,0,0,5122.18989896243,4811.86548469467,310.324414267763,0,0.4,0,0.5,0,0,0.9,"FiSL","1",1
"2019BC005",2019,60,"C",86,5339.71741244975,0,0,2500.89666155324,0,0,7840.614074003,2500.89666155324,5339.71741244975,0.25,0,0,0.6,0,0,0.85,"FiSL","1",3
"Shovel Creek",2019,24,"A",139,0,21517.2578312906,0,0,0,0,21517.2578312906,0,21517.2578312906,0,0.2,0,0,0,0,0.2,"FiSL","1",3
"Shovel Creek",2019,24,"B",84,0,0,0,0,992.532881856296,0,992.532881856296,992.532881856296,0,0,0,0,0,0.15,0,0.15,"FiSL","1",3
"Shovel Creek",2019,24,"C",148,0,0,0,0,6569.82848869233,0,6569.82848869233,6569.82848869233,0,0,0,0,0,0.05,0,0.05,"FiSL","1",3
"Munson Creek",2021,121,"A",69,0,5243.21142155885,0,0,0,48.878452156155,5292.089873715,48.878452156155,5243.21142155885,0,0.85,0,0,0,0.05,0.9,"FiSL","1",1
"Munson Creek",2021,121,"B",95,0,2117.59753727754,0,3115.69372979836,0,0,5233.2912670759,3115.69372979836,2117.59753727754,0,0.75,0,0.15,0,0,0.9,"FiSL","1",1
"Munson Creek",2021,121,"C",88,0,1946.61603285139,0,973.868155629403,0,0,2920.48418848079,973.868155629403,1946.61603285139,0,0.75,0,0.05,0,0,0.8,"FiSL","1",1
"Hess Creek",2019,10,"A",58,0,7757.09879029199,0,0,25.5377561050986,0,7782.63654639709,25.5377561050986,7757.09879029199,0,0.5,0,0,0.05,0,0.55,"FiSL","1",3
"Hess Creek",2019,10,"B",98,989.91009582623,0,0,0,0,0,989.91009582623,0,989.91009582623,0.1,0,0,0,0,0,0.1,"FiSL","1",3
